"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, CROPLAND, NON-IRRIGATED - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>VALUE</b>","RENT, CASH, PASTURELAND - EXPENSE, MEASURED IN $ / ACRE  -  <b>CV (%)</b>"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","EAST","60","PERRY","157","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","115","5.2","33.5","5.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","EAST","60","ST CHARLES","183","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","151","6.2","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","EAST","60","ST FRANCOIS","187","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","65.5","20.3","27","10.8"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","EAST","60","ST LOUIS","189","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","143","5.3","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","EAST","60","STE GENEVIEVE","186","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","106","14","33.5","4.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","EAST","60","WARREN","219","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","119","5.8","29","15.9"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","EAST","60","WASHINGTON","221","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","23.5","11.2","18","8"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","ADAIR","001","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","105","5.3","46","4.7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","CARROLL","033","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","179","8.3","54.5","5.4"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","CHARITON","041","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","155","4.7","48","13.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","GRUNDY","079","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","177","5.4","38.5","4.7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","LINN","115","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","147","6.5","34.5","5.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","LIVINGSTON","117","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","199","6.7","33","7.9"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","MACON","121","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","105","3.7","39.5","4.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","MERCER","129","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","130","6.4","49","13"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","PUTNAM","171","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","124","5.1","53","4.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","RANDOLPH","175","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","128","7","37.5","10.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","SCHUYLER","197","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","126","6.7","52","4.4"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTH CENTRAL","20","SULLIVAN","211","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","118","5.9","40","6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","AUDRAIN","007","","","00000000","","RENT","TOTAL","NOT SPECIFIED","193","3.8","171","5.1","46.5","6.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","CLARK","045","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","164","6.7","35.5","4.3"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","KNOX","103","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","151","5.3","35.5","4.7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","LEWIS","111","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","147","3.1","52","5.7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","MARION","127","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","219","3.6","45","5.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","MONROE","137","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","152","3.2","42.5","4.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","PIKE","163","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","130","4","50","10.8"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","RALLS","173","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","199","7.7","35","5.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","SCOTLAND","199","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","164","7.1","59","6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHEAST","30","SHELBY","205","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","165","4","41","5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","ANDREW","003","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","178","6.5","52","8.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","ATCHISON","005","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","244","5.8","57.5","5.1"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","BUCHANAN","021","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","166","4.1","37.5","4.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","CALDWELL","025","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","175","3.1","58","4.8"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","CLAY","047","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","169","7.5","40","4.3"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","CLINTON","049","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","210","4.5","60.5","5.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","DAVIESS","061","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","192","4.8","39.5","4.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","DE KALB","063","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","164","8","45","7.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","GENTRY","075","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","171","5.2","56","5.4"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","HARRISON","081","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","159","7.4","51.5","5.1"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","HOLT","087","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","227","4.9","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","NODAWAY","147","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","170","5.7","62","3.9"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","PLATTE","165","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","175","7.4","38","7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","RAY","177","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","146","5","46.5","4.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","NORTHWEST","10","WORTH","227","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","188","8","47.5","6.4"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","BOLLINGER","017","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","52","16.7","27.5","5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","CARTER","035","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30","1.9","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","DENT","065","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","35","12.2","20","4.7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","DOUGLAS","067","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","34.5","8.6","33","8.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","HOWELL","091","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","69.5","13.2","35","4.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","IRON","093","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26.5","7.2","16.5","7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","MADISON","123","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26","9","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","OREGON","149","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","32","4.6","44.5","6.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","OZARK","153","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","40","18.6","19","18.7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","REYNOLDS","179","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","9.9","3.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","RIPLEY","181","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","38","7","25","10.3"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","SHANNON","203","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","13.5","9.9"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","TANEY","213","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","18.5","6.2","11.5","16"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","TEXAS","215","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","35","4","26.5","13.1"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","WAYNE","223","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","78","10.1","30","9.4"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","WEBSTER","225","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","33","4.2","31","4.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTH CENTRAL","80","WRIGHT","229","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26.5","4.1","29.5","5.4"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","BUTLER","023","","","00000000","","RENT","TOTAL","NOT SPECIFIED","210","2.7","129","12.1","26.5","5.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","CAPE GIRARDEAU","031","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","126","5.7","46","4.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","DUNKLIN","069","","","00000000","","RENT","TOTAL","NOT SPECIFIED","203","6.9","125","4","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","MISSISSIPPI","133","","","00000000","","RENT","TOTAL","NOT SPECIFIED","194","3","181","2.8","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","NEW MADRID","143","","","00000000","","RENT","TOTAL","NOT SPECIFIED","218","3.9","","","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","PEMISCOT","155","","","00000000","","RENT","TOTAL","NOT SPECIFIED","188","5","151","3.9","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","SCOTT","201","","","00000000","","RENT","TOTAL","NOT SPECIFIED","251","2.9","217","6","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHEAST","90","STODDARD","207","","","00000000","","RENT","TOTAL","NOT SPECIFIED","214","2.5","100","3.2","26","5.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","BARRY","009","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","85","14.6","33","4.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","BARTON","011","","","00000000","","RENT","TOTAL","NOT SPECIFIED","170","8.9","88.5","4.6","40.5","3.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","CHRISTIAN","043","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","43.5","4.7","29","8.7"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","DADE","057","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","37.5","5.4"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","GREENE","077","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","45","5.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","JASPER","097","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","82.5","6.3","46","4.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","LAWRENCE","109","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","54","7.9","37","3.9"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","MCDONALD","119","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","45.5","18.3","34","7.3"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","NEWTON","145","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","54","5","28.5","4.3"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","SOUTHWEST","70","STONE","209","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","26.5","6.1"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","BATES","013","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","97","7.1","52","10.5"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","CASS","037","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","106","10.2","40","5.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","CEDAR","039","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","38.5","9.4","41.5","8.3"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","HENRY","083","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","104","11.3","",""
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","JACKSON","095","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","159","7.1","42","9.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","JOHNSON","101","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","115","13.1","45","5.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","LAFAYETTE","107","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","195","5.2","44","3.2"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","ST CLAIR","185","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","119","10.9","45.5","5.6"
"SURVEY","2024","YEAR","","COUNTY","MISSOURI","29","WEST","40","VERNON","217","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","99","7.1","35","9.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","","99","OTHER COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","83","4.4","32.5","1.6","9","5.5"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","BROADWATER","007","","","00000000","","RENT","TOTAL","NOT SPECIFIED","204","5.4","24","6.9","7.4","8.3"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","CASCADE","013","","","00000000","","RENT","TOTAL","NOT SPECIFIED","93","6.3","40","9.5","12.5","11.8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","FERGUS","027","","","00000000","","RENT","TOTAL","NOT SPECIFIED","76","5.2","30.5","8.5","12.5","13.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","GOLDEN VALLEY","037","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","20","9.7","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","JUDITH BASIN","045","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","29.5","4.3","14.5","6.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","LEWIS AND CLARK","049","","","00000000","","RENT","TOTAL","NOT SPECIFIED","96","5.4","","","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MEAGHER","059","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","7.8","9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","MUSSELSHELL","065","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26.5","8.5","4.7","7"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","PETROLEUM","069","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","18","10.7","14.5","15.1"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","CENTRAL","50","WHEATLAND","107","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","20.5","16.4","7.2","5.6"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","BLAINE","005","","","00000000","","RENT","TOTAL","NOT SPECIFIED","74","9.8","29","7","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","CHOUTEAU","015","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","37","3.5","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","GLACIER","035","","","00000000","","RENT","TOTAL","NOT SPECIFIED","41","13.5","22","10.3","7.6","9.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","HILL","041","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","30.5","6.8","3.4","14.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","LIBERTY","051","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","29.5","4","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","PHILLIPS","071","","","00000000","","RENT","TOTAL","NOT SPECIFIED","51.5","6.5","25.5","8.5","6.5","9.6"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","PONDERA","073","","","00000000","","RENT","TOTAL","NOT SPECIFIED","60","5.8","42.5","2.5","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","TETON","099","","","00000000","","RENT","TOTAL","NOT SPECIFIED","107","4.7","","","12.5","7.3"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTH CENTRAL","20","TOOLE","101","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","32","4.5","7","14.3"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","DANIELS","019","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","28.5","3","5.6","6"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","DAWSON","021","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","26.5","8.6","7.8","12.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","GARFIELD","033","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","20","4.9","4.1","5.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","MCCONE","055","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","28.5","3.8","9.4","7.8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","RICHLAND","083","","","00000000","","RENT","TOTAL","NOT SPECIFIED","141","4.6","29","13.6","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","ROOSEVELT","085","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","35","4.5","8","5"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","SHERIDAN","091","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","39","4.5","6.2","6.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHEAST","30","VALLEY","105","","","00000000","","RENT","TOTAL","NOT SPECIFIED","48","6.6","27.5","3.5","11.5","28.3"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","DEER LODGE","023","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","8","4.8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","FLATHEAD","029","","","00000000","","RENT","TOTAL","NOT SPECIFIED","68.5","14.9","40.5","12.5","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","LAKE","047","","","00000000","","RENT","TOTAL","NOT SPECIFIED","71","4.8","31.5","18.3","10.5","13.1"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","MISSOULA","063","","","00000000","","RENT","TOTAL","NOT SPECIFIED","64","9.2","28.5","13.8","13.5","20.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","POWELL","077","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","5.7","9.7"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","RAVALLI","081","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","20","8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","NORTHWEST","10","SANDERS","089","","","00000000","","RENT","TOTAL","NOT SPECIFIED","70.5","10.8","24","4.2","4.6","13"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","BIG HORN","003","","","00000000","","RENT","TOTAL","NOT SPECIFIED","102","4.7","24","9.2","7.6","8.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","CARBON","009","","","00000000","","RENT","TOTAL","NOT SPECIFIED","115","5.6","32.5","32.1","12","24.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","PARK","067","","","00000000","","RENT","TOTAL","NOT SPECIFIED","93","9","37.5","6.9","8.7","8.1"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","STILLWATER","095","","","00000000","","RENT","TOTAL","NOT SPECIFIED","101","4.7","22.5","8.7","8.8","5.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","SWEET GRASS","097","","","00000000","","RENT","TOTAL","NOT SPECIFIED","49","16.7","","","11","10.4"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","TREASURE","103","","","00000000","","RENT","TOTAL","NOT SPECIFIED","136","3.8","","","3.8","6.8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTH CENTRAL","80","YELLOWSTONE","111","","","00000000","","RENT","TOTAL","NOT SPECIFIED","115","5.5","27.5","3.8","4.8","8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","CARTER","011","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","20","14.2","7.4","6.7"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","CUSTER","017","","","00000000","","RENT","TOTAL","NOT SPECIFIED","115","6.4","","","",""
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","FALLON","025","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","17","7.3","12","9.8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","POWDER RIVER","075","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","","","5.5","12.8"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","PRAIRIE","079","","","00000000","","RENT","TOTAL","NOT SPECIFIED","175","10.3","","","5.7","7.3"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","ROSEBUD","087","","","00000000","","RENT","TOTAL","NOT SPECIFIED","106","6.6","22","11.3","5.8","11.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHEAST","90","WIBAUX","109","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","32","5.3","11.5","10.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","BEAVERHEAD","001","","","00000000","","RENT","TOTAL","NOT SPECIFIED","140","9.4","","","12.5","8.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","GALLATIN","031","","","00000000","","RENT","TOTAL","NOT SPECIFIED","174","5","39","6.6","11.5","9.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","JEFFERSON","043","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","21","4.6","6.5","10.2"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","MADISON","057","","","00000000","","RENT","TOTAL","NOT SPECIFIED","124","19.6","","","14.5","7.9"
"SURVEY","2024","YEAR","","COUNTY","MONTANA","30","SOUTHWEST","70","SILVER BOW","093","","","00000000","","RENT","TOTAL","NOT SPECIFIED","58","3.7","","","7","6.1"
"SURVEY","2024","YEAR","","COUNTY","NEBRASKA","31","","99","OTHER COUNTIES","","","","00000000","","RENT","TOTAL","NOT SPECIFIED","274","1.4","74.5","3.2","38.5","3.4"
"SURVEY","2024","YEAR","","COUNTY","NEBRASKA","31","CENTRAL","50","BUFFALO","019","","","00000000","","RENT","TOTAL","NOT SPECIFIED","","","137","4.2","42","5.2"
